Experiment,Learning Rate,LoRA Rank,Context Length,Steps,Total FLOPS (T),Best Loss
lora_r2_lr1e-05_ctx512,1e-05,2,512,250,3430.44240719872,1.1653479046127744
lora_r4_lr1e-05_ctx512,1e-05,4,512,250,3431.513165824,1.1152116510521148
lora_r8_lr1e-05_ctx512,1e-05,8,512,250,3433.65468307456,0.9881303347301188
lora_r2_lr5e-05_ctx512,5e-05,2,512,250,3430.44240719872,0.8129178892717273
lora_r4_lr5e-05_ctx512,5e-05,4,512,250,3431.513165824,0.7456611778713971
lora_r8_lr5e-05_ctx512,5e-05,8,512,250,3433.65468307456,0.6995000518143362
lora_r2_lr0.0001_ctx512,0.0001,2,512,250,3430.44240719872,0.7259904090834107
lora_r4_lr0.0001_ctx512,0.0001,4,512,250,3431.513165824,0.637537654523879
lora_r8_lr0.0001_ctx512,0.0001,8,512,250,3433.65468307456,0.5738634090674551
lora_r8_lr0.0001_ctx128,0.0001,8,128,200,665.202681479168,0.6580016255750382
lora_r8_lr0.0001_ctx768,0.0001,8,768,200,4206.498640232448,0.41204501688480377
